,0,1,2,3,4,5,6,7,8,9,10
0,4.678919083757748e-12,0.003480795535764804,0.3399432301118237,0.9999473958965016,0.010256970303369046,5.312082550441785e-12,2.533179259704653e-09,18.0,11.0,18.0,10.0
1,0.03451410602879562,0.04141692734716075,0.3341940915288575,0.9871911579171484,0.12256348221624634,-0.1021362352928775,-2.5288407751911933e-09,19.0,20.0,9.0,8.0
2,-0.003478889739088346,0.013915558878720447,0.3395663361784292,0.9991058522367822,0.04101645037819097,0.01025411256980926,-2.5348091880491117e-09,9.0,18.0,10.0,14.0
3,0.0034788072283336077,-0.01391522883379194,0.339558232432947,0.9991058520490742,-0.04101645468102061,-0.01025411364775219,-2.5316159328102666e-09,19.0,12.0,18.0,16.0
4,-2.3499107266817858e-11,0.017389302115387337,0.3393704601869335,0.9986851662794767,0.05126342412830643,-2.7590104553771736e-11,-2.5327310651610466e-09,16.0,17.0,16.0,12.0
5,-0.01737453167531166,0.017374531629355348,0.33878435024812387,0.9973708932168536,0.05124110347060289,0.05124110341374818,-2.534217072370418e-09,9.0,15.0,14.0,10.0
6,-0.027781803547412384,-0.00694545084827115,0.3383573170759042,0.9964249632419375,-0.020490015733869105,0.08196006273652441,2.525236481208121e-09,11.0,8.0,19.0,10.0
7,0.006954892297090814,0.017387230809710944,0.33928238028684105,0.9984748451235113,0.051259848963532174,-0.02050393961784127,-2.535238564708177e-09,15.0,13.0,13.0,8.0
8,0.013914032631756522,-0.006957016338934112,0.33949330857346255,0.9989480883023832,-0.020507154226492554,-0.041014308510054526,2.538034208505562e-09,20.0,8.0,16.0,10.0
9,1.4138647320889697e-11,0.010439191499677182,0.33974374855023703,0.999526595231761,0.03076662842110886,1.550434589803124e-11,2.533019739254151e-09,20.0,18.0,20.0,15.0
10,-0.00347487096039043,0.024324097102938626,0.338780885133064,0.9973708929416719,0.07173754856355045,0.010248221257962252,2.5303338049298445e-09,10.0,20.0,11.0,13.0
11,0.010426271979413239,0.02085254402907598,0.3388943613827873,0.9976337025364262,0.06149468634669286,-0.030747343213433774,-2.5393274722789846e-09,20.0,16.0,17.0,10.0
12,0.01042620132394484,0.02085240271814231,0.33889205050965704,0.9976337023945886,0.061494688187603876,-0.030747344133701313,-2.5367474982582823e-09,20.0,18.0,17.0,12.0
13,0.013915973357186459,-1.854214345557428e-11,0.3395883653278479,0.9991584419549203,2.199688614734917e-11,-0.041017165555685006,2.5329256934480994e-09,14.0,15.0,10.0,15.0
14,0.010409901933252233,-0.031229705660289334,0.33782660572835654,0.9952692197010536,-0.09216974713793025,-0.030723248991921248,-2.5297556801767622e-09,18.0,11.0,15.0,20.0
15,0.0034797211796378062,-0.010439163584410879,0.3397309800157014,0.9994739993302061,-0.030766088412967327,-0.010255362823829075,2.5309008914058423e-09,9.0,17.0,8.0,20.0
16,-0.01041007819047186,0.031230234710352866,0.33783236493471236,0.9952692204131054,0.09216974018509941,0.03072324678373993,2.5354499799156308e-09,13.0,17.0,16.0,8.0
17,0.010437983401651703,0.006958655660766307,0.33965677323849613,0.9993162165572702,0.020509654962552516,-0.03076448242669499,-2.535862022692677e-09,19.0,13.0,16.0,11.0
18,0.031235841413895283,0.006941298135428451,0.337952572261857,0.9955318512809787,0.020483948425676884,-0.09217776815669196,-2.533843858211895e-09,18.0,13.0,9.0,11.0
